conc,abs,replicate,drug
16,0.2923,0,IM
8,0.2683,0,IM
4,0.268,0,IM
2,0.2541,0,IM
1,0.2491,0,IM
0.5,0.3202,0,IM
0.25,0.4118,0,IM
0.125,0.4779,0,IM
0.0625,0.8597,0,IM
0.03125,0.8325,0,IM
0.015625,0.7908,0,IM
0.0078125,0.813,0,IM
16,0.2797,1,IM
8,0.2907,1,IM
4,0.2545,1,IM
2,0.2371,1,IM
1,0.2495,1,IM
0.5,0.2784,1,IM
0.25,0.3584,1,IM
0.125,0.5007,1,IM
0.0625,0.4625,1,IM
0.03125,0.874,1,IM
0.015625,0.7554,1,IM
0.0078125,0.7756,1,IM
16,0.4293,2,IM
8,0.252,2,IM
4,0.2801,2,IM
2,0.2476,2,IM
1,0.2534,2,IM
0.5,0.2761,2,IM
0.25,0.3631,2,IM
0.125,0.4581,2,IM
0.0625,0.6012,2,IM
0.03125,0.8612,2,IM
0.015625,0.7479,2,IM
0.0078125,0.8923,2,IM
0.0128,0.2928,0,AS
0.0064,0.2719,0,AS
0.0032,0.2604,0,AS
0.0016,0.3389,0,AS
0.0008,0.5893,0,AS
0.0004,0.7417,0,AS
0.0002,0.8,0,AS
0.0001,0.7669,0,AS
0.00005,0.7496,0,AS
0.000025,0.8793,0,AS
0.0000125,0.8658,0,AS
0.00000625,0.8955,0,AS
0.0128,0.2877,1,AS
0.0064,0.2661,1,AS
0.0032,0.2584,1,AS
0.0016,0.3324,1,AS
0.0008,0.6167,1,AS
0.0004,0.7242,1,AS
0.0002,0.7809,1,AS
0.0001,0.8391,1,AS
0.00005,0.8151,1,AS
0.000025,0.8186,1,AS
0.0000125,0.9087,1,AS
0.00000625,1.0167,1,AS
0.0128,0.2935,2,AS
0.0064,0.2862,2,AS
0.0032,0.2843,2,AS
0.0016,0.3464,2,AS
0.0008,0.604,2,AS
0.0004,0.8013,2,AS
0.0002,0.7647,2,AS
0.0001,0.8412,2,AS
0.00005,0.9033,2,AS
0.000025,0.9172,2,AS
0.0000125,0.8038,2,AS
0.00000625,0.9864,2,AS
0.004,0.296,0,DA
0.002,0.2935,0,DA
0.001,0.3087,0,DA
